Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
Gary Forbes,,2008,SG,SG,SF,SF,0,,,"6'4.5""",76.5,"8'8.5""",104.5,"6'11.25""",83.25,220.5,11.45,,3.25,27.5,33.5,6.511627907,57.44186047,56.86046512,69.06976744,,,47.47093023,38.78865979,50.77319588,,44.78092784,31.15384615,24.03598972,27.59491794,39.94892533,24.6701847
George Hill,IU Indianapolis,2008,PG,PG,SG,SG,0,,,"6'1.25""",73.25,"8'1.5""",97.5,"6'9""",81,181,12.2,,3.07,34,37.5,1.170568562,5.351170569,57.85953177,6.711409396,,,17.77317007,1.538461538,93.32061069,,47.42953611,67.36641221,92.85714286,80.11177754,48.43816124,44.42231076
J.R. Giddens,New Mexico,2008,SG,SG,PG-SF,PG,0,,,"6'4""",76,"8'7""",103,"6'11.25""",83.25,208,,,,,,90.89635854,97.33893557,99.15966387,94.52247191,,,95.47935747,,,,,,,,,
J.R. Giddens,New Mexico,2008,SG,SG,PG-SF,SF,0,,,"6'4""",76,"8'7""",103,"6'11.25""",83.25,208,,,,,,2.325581395,29.88372093,56.86046512,32.3255814,,,30.34883721,,,,,,,,,
Jamar Butler,,2008,PG,PG,SG,SG,0,,,"6'0.25""",72.25,"8'1""",97,"6'4.75""",76.75,182,,,,,,0.3344481605,3.010033445,3.344481605,8.053691275,,,3.685663621,,,,,,,,,
James Gist,Maryland,2008,PF,PF,SF-C,SF,0,,,"6'7""",79,"8'11.5""",107.5,"7'4""",88,220,11.37,,3.14,30.5,35,75.23255814,94.65116279,99.53488372,67.3255814,,,84.18604651,44.32989691,83.63402062,,63.98195876,48.20512821,63.62467866,55.91490343,68.02763624,89.05013193
James Gist,Maryland,2008,PF,PF,SF-C,C,0,,,"6'7""",79,"8'11.5""",107.5,"7'4""",88,220,11.37,,3.14,30.5,35,2.07253886,12.23958333,61.13989637,8.29015544,,,20.9355435,83.4375,95,,89.21875,81.25,80.625,80.9375,63.6972645,80.06329114
James Mays,,2008,PF,PF,SF-C,SF,0,,,"6'6.75""",78.75,"8'9""",105,"7'1.75""",85.75,227,11.23,,3.19,29.5,35,68.8372093,66.04651163,89.65116279,80.69767442,,,76.30813953,54.3814433,71.77835052,,63.07989691,48.20512821,50,49.1025641,62.83020018,80.8707124
James Mays,,2008,PF,PF,SF-C,C,0,,,"6'6.75""",78.75,"8'9""",105,"7'1.75""",85.75,227,11.23,,3.19,29.5,35,1.295336788,2.34375,24.09326425,16.58031088,,,11.07816548,91.25,92.1875,,91.71875,81.25,74.0625,77.65625,60.15105516,72.46835443
JaVale McGee,Nevada,2008,C-PF,C,PF,PF,0,,,"6'11""",83,"9'6.5""",114.5,"7'6""",90,241,12.75,,3.25,27,32.5,98.97494305,100,99.20273349,63.55353075,,,90.43280182,5.808080808,72.7735369,,39.29080885,44.57070707,32.49370277,38.53220492,56.08527186,62.75773196
Jeremy Pargo,,2008,PG,PG,SG,SG,0,,,"6'0.5""",72.5,"8'0""",96,"6'5""",77,208,10.65,,3.07,32,37,0.3344481605,1.170568562,4.180602007,67.61744966,,,18.3257671,87.5,93.32061069,,90.41030534,63.16793893,76.12781955,69.64787924,59.46131723,71.11553785
Jerryd Bayless,Arizona,2008,PG-SG,PG,SG,SG,0,,,"6'1.75""",73.75,"8'1""",97,"6'3.5""",75.5,204,11.26,,3.07,31,38,3.177257525,3.010033445,1.839464883,57.55033557,,,16.39427286,38.26923077,93.32061069,,65.79492073,73.28244275,63.72180451,68.50212363,50.23043907,49.20318725
Jiri Hubalek,,2008,C-PF,PF,C,C,0,,,"6'9.5""",81.5,"9'1""",109,"6'10.75""",82.75,226,12.26,,3.54,20.5,26,25.38860104,27.60416667,2.331606218,15.54404145,,,17.71710384,27.1875,16.875,,22.03125,4.375,1.25,2.8125,14.18695128,0
